oid,filter,mjd,mag,magerr,clrcoeff
821207100004043,zr,58575.38693,20.106056,0.12931384,0.112800285
821207100004043,zr,58575.40182,20.20384,0.13838431,0.10785215
821107100005285,zg,58580.26599,21.077631,0.22619998,-0.09125062
821107100005285,zg,58580.26689,20.901075,0.2109487,-0.08933806
821207100004043,zr,58580.33911,19.99826,0.11978767,0.12019326
1825213100014861,zr,58580.35535,20.259369,0.16365331,0.09400181
1826216100013709,zr,58580.35627,20.06528,0.14514774,0.10626918
821207100004043,zr,58580.36408,20.226784,0.14056706,0.11783088
821207100004043,zr,58580.36498,20.160664,0.1343314,0.11792162
821207100004043,zr,58580.38079,20.260403,0.14380024,0.119236715
821207100004043,zr,58581.26216,20.185287,0.1366338,0.120724626
821307100004794,zi,58581.28481,20.021248,0.13878503,0.1844814
821107100005285,zg,58581.31254,20.781172,0.2005912,-0.0768068
821107100005285,zg,58581.3334,20.6776,0.19164455,-0.07118676
821207100004043,zr,58581.37258,20.088982,0.1277709,0.12451555
821207100004043,zr,58581.41846,20.315962,0.14922741,0.12351673
1825213100014861,zr,58582.23075,20.161211,0.156804,0.10053901
821207100004043,zr,58582.2373,20.155518,0.13385344,0.11105877
821207100004043,zr,58582.25679,20.184261,0.13653746,0.11161446
821107100005285,zg,58582.31901,21.048613,0.22369325,-0.092714615
821107100005285,zg,58582.34688,20.851597,0.2066747,-0.065726936
821207100004043,zr,58583.31311,20.063133,0.12545893,0.12388912
821207100004043,zr,58583.32875,20.008953,0.12070926,0.12367033
821207100004043,zr,58583.32965,20.22814,0.14069673,0.12093509
821107100005285,zg,58584.26174,20.427982,0.16914667,-0.09789539
821207100004043,zr,58584.32837,20.145002,0.13287994,0.1242923
821207100004043,zr,58584.37012,20.150837,0.13341954,0.11918046
821307100004794,zi,58585.23793,20.348614,0.16789308,0.18719096
821107100005285,zg,58585.26822,20.901165,0.21095645,-0.082696415
821107100005285,zg,58585.2916,21.021084,0.22131526,-0.07880692
821207100004043,zr,58585.30395,20.19524,0.13757129,0.12167777
821207100004043,zr,58585.32684,20.132748,0.13175106,0.11893074
821207100004043,zr,58586.22047,20.267286,0.14446709,0.1118205
821207100004043,zr,58586.24539,20.058725,0.12506758,0.11644106
821207100004043,zr,58586.24734,20.054094,0.124657445,0.12042699
821107100005285,zg,58586.28198,20.806524,0.2027812,-0.07363561
821207100004043,zr,58586.32923,20.38797,0.15639761,0.12356488
821207100004043,zr,58587.28658,20.289984,0.14667735,0.120523766
821207100004043,zr,58587.30176,20.314377,0.14907117,0.12695143
821207100004043,zr,58589.27025,19.883764,0.11025117,0.12419334
821207100004043,zr,58591.39172,20.619535,0.17783701,0.12247822
821207100004043,zr,58591.4136,20.141167,0.13252589,0.12499366
1826216100013709,zr,58592.2933,20.143356,0.1504102,0.10647234
821207100004043,zr,58593.25691,19.879381,0.109898314,0.12970401
1825213100014861,zr,58593.28962,20.24656,0.16280003,0.101911165
821107100005285,zg,58596.19755,20.857868,0.20721638,-0.06753539
821107100005285,zg,58596.22075,20.680504,0.19189537,-0.0608727
821107100005285,zg,58596.24349,20.837585,0.20546436,-0.09336889
821207100004043,zr,58596.28865,20.07549,0.12656052,0.1124225
821207100004043,zr,58596.30768,20.321232,0.14974739,0.1204854
821107100005285,zg,58597.26991,20.702698,0.19381249,-0.08829696
821107100005285,zg,58597.28446,20.718702,0.19519496,-0.08285651
821207100004043,zr,58597.34079,20.346668,0.15226772,0.11921429
821207100004043,zr,58597.37134,20.31724,0.14935338,0.11592492
821207100004043,zr,58597.3965,20.216885,0.13962287,0.12752166
821107100005285,zg,58598.24449,20.77455,0.20001912,-0.07904672
821107100005285,zg,58598.26777,20.891132,0.2100898,-0.09873303
821107100005285,zg,58598.28782,20.889194,0.20992243,-0.09989734
821207100004043,zr,58598.30885,20.326895,0.15030688,0.11023412
821207100004043,zr,58598.32661,20.3005,0.14770712,0.11791646
821207100004043,zr,58598.3514,20.054193,0.124666296,0.113147795
821107100005285,zg,58599.27719,20.929794,0.21342957,-0.074385054
821107100005285,zg,58600.19498,21.073204,0.22581756,-0.080567345
821107100005285,zg,58600.22487,20.560295,0.1815114,-0.06983539
821207100004043,zr,58600.31365,20.33637,0.15124513,0.11667229
1825213100014861,zr,58602.26559,20.232517,0.16184904,0.09122337
1825213100014861,zr,58606.2375,20.20757,0.16012263,0.09873044
821207100004043,zr,58606.25487,20.403181,0.15792891,0.12204784
1826216100013709,zr,58606.26831,20.749834,0.18157554,0.10485246
821207100004043,zr,58606.27826,20.345615,0.15216318,0.12227725
821207100004043,zr,58606.27918,20.247625,0.14256674,0.12244117
821207100004043,zr,58606.34371,20.257736,0.14354244,0.11873968
821107100005285,zg,58606.4286,20.992064,0.21880841,-0.08431295
821107100005285,zg,58606.45548,21.09336,0.22755873,-0.08470472
821107100005285,zg,58606.46211,20.856426,0.20709181,-0.07383324
821207100004043,zr,58607.24174,20.081982,0.12714194,0.12233472
821107100005285,zg,58607.30868,20.901592,0.21099341,-0.09526928
821207100004043,zr,58607.34394,20.325634,0.15018219,0.11717927
821207100004043,zr,58608.25015,20.604784,0.1765902,0.11332505
821207100004043,zr,58608.25628,20.318,0.14942838,0.11603502
1826216100013709,zr,58608.26425,20.436176,0.1648818,0.10200746
821107100005285,zg,58608.28853,21.042068,0.22312796,-0.07099591
821107100005285,zg,58608.30867,21.152973,0.23270822,-0.078172505
821207100004043,zr,58608.35486,20.443941,0.16205573,0.117230356
821207100004043,zr,58612.22267,20.288807,0.14656246,0.11724162
821207100004043,zr,58612.23781,20.312428,0.14887935,0.11846376
821107100005285,zg,58612.26817,21.22149,0.23862684,-0.08599821
821107100005285,zg,58612.26909,21.079597,0.22636986,-0.084625855
821107100005285,zg,58612.31064,21.26612,0.24248207,-0.09938209
821307100004794,zi,58612.32624,20.412493,0.17332855,0.18610185
821207100004043,zr,58612.34512,20.360739,0.15366979,0.11149683
821207100004043,zr,58616.16091,20.226877,0.14057595,0.12399279
821207100004043,zr,58616.17591,20.27585,0.14529902,0.113005415
821207100004043,zr,58616.17682,20.286812,0.14636752,0.10899772
821207100004043,zr,58616.30574,20.458778,0.16356522,0.11984561
821307100004794,zi,58616.32663,20.03188,0.1397255,0.18523066
1826216100013709,zr,58617.29172,20.241205,0.1563789,0.10674445
1826216100013709,zr,58618.20898,20.407316,0.16400295,0.10781084
821307100004794,zi,58627.42939,20.338322,0.1670014,0.18923403
821107100005285,zg,58633.26317,21.01506,0.22079504,-0.07256658
821207100004043,zr,58633.30513,20.450968,0.16277014,0.1143218
821207100004043,zr,58636.21985,20.528143,0.17011201,0.116436936
821107100005285,zg,58636.28253,21.363976,0.25093496,-0.09397961
821307100004794,zi,58639.20132,20.27885,0.16178323,0.18620461
821207100004043,zr,58639.28235,20.65355,0.1807121,0.117124476
821207100004043,zr,58642.25854,20.516048,0.1690898,0.11785366
821307100004794,zi,58643.2177,20.307571,0.16431552,0.18474364
821207100004043,zr,58645.28069,20.57511,0.17408192,0.116578035
821207100004043,zr,58649.22554,20.64257,0.17978406,0.12337671
821207100004043,zr,58649.23977,20.306889,0.1483345,0.119674645
821207100004043,zr,58649.26481,20.16773,0.13498971,0.118283935
821307100004794,zi,58652.24137,20.170284,0.1520901,0.18351154
821207100004043,zr,58654.20022,20.741463,0.18814301,0.1143233
821107100005285,zg,58657.20029,21.2382,0.2400701,-0.081162035
821207100004043,zr,58657.36957,20.50839,0.16844249,0.12969106
821307100004794,zi,58659.18353,20.808865,0.20601761,0.19282162
821107100005285,zg,58660.18454,21.352003,0.24990082,-0.09953327
821207100004043,zr,58660.22643,20.699718,0.18461454,0.1168552
821307100004794,zi,58663.17897,20.910826,0.2144934,0.18640214
821107100005285,zg,58665.19883,21.508234,0.26339626,-0.094280526
821207100004043,zr,58665.26571,20.65541,0.18086946,0.11785634
821207100004043,zr,58668.18343,20.83647,0.19617355,0.1220018
821107100005285,zg,58668.19511,21.252365,0.24129379,-0.083440304
821307100004794,zi,58671.17471,20.363646,0.16918853,0.19142155
821207100004043,zr,58683.21258,20.682331,0.18314493,0.12368719
821207100004043,zr,58684.23098,20.428738,0.16051269,0.12873696
821207100004043,zr,58691.17315,21.058731,0.21496034,0.11609766
821107100005285,zg,58691.21802,21.243217,0.24050367,-0.0708009
821207100004043,zr,58694.18107,21.089981,0.21760166,0.10786824
821207100004043,zr,58696.27152,20.629305,0.17866278,0.13092692
821207100004043,zr,58700.27092,20.773533,0.19085371,0.12826447
821207100004043,zr,58706.18909,20.68835,0.18365371,0.11921082
821107100005285,zg,58864.47655,21.202843,0.23701596,-0.07139658
821307100004794,zi,58875.39028,21.246754,0.24241805,0.18514745
821307100004794,zi,58876.47593,21.67522,0.27803528,0.19238083
821207100004043,zr,58881.56394,21.498623,0.2521423,0.11608016
821207100004043,zr,58884.55311,21.060257,0.2150892,0.11761958
821207100004043,zr,58891.4877,21.014845,0.21125078,0.10567855
821307100004794,zi,58893.4297,21.490839,0.2627082,0.1862614
821307100004794,zi,58894.43351,21.838686,0.2916237,0.18680143
821207100004043,zr,58912.47982,21.787159,0.27653098,0.114731915
821207100004043,zr,58954.49981,21.179287,0.22515035,0.11275898
821107100005285,zg,58968.2849,21.677673,0.27803278,-0.082552545
821207100004043,zr,58986.26113,21.856476,0.28239012,0.11689944
821307100004794,zi,58996.35904,21.63754,0.27490306,0.1915162
821307100004794,zi,59295.36695,20.85849,0.21014285,0.18883498
821207100004043,zr,59316.28114,21.984165,0.2931831,0.1085972
821207100004043,zr,59341.24514,21.799345,0.27756107,0.12104701
821207100004043,zr,59779.3051,20.859829,0.19814801,0.112230934
