Xaxis0,yaxis
-0.05026893172469804,2.0
-0.04801292918340867,1.0
-0.044628925371474615,1.0
-0.03673291647696182,1.0
-0.03560491520631713,1.0
-0.03222091139438308,3.0
-0.031092910123738396,3.0
-0.027708906311804338,3.0
-0.026580905041159654,5.0
-0.02545290377051497,4.0
-0.024324902499870283,1.0
-0.0231969012292256,3.0
-0.022068899958580915,9.0
-0.02094089868793623,6.0
-0.019812897417291545,10.0
-0.01868489614664686,10.0
-0.017556894876002177,10.0
-0.016428893605357486,14.0
-0.015300892334712803,10.0
-0.014172891064068119,18.0
-0.013044889793423435,22.0
-0.011916888522778751,31.0
-0.01078888725213406,32.0
-0.009660885981489377,33.0
-0.008532884710844693,38.0
-0.007404883440200009,46.0
-0.006276882169555326,44.0
-0.005148880898910635,39.0
-0.004020879628265951,55.0
-0.0028928783576212674,56.0
-0.0017648770869765837,68.0
-0.0006368758163318999,69.0
0.0004911254543127838,54.0
0.0016191267249574745,59.0
0.0027471279956021583,65.0
0.003875129266246842,45.0
0.005003130536891526,50.0
0.0061311318075362095,67.0
0.0072591330781809,40.0
0.008387134348825584,28.0
0.009515135619470268,28.0
0.010643136890114951,21.0
0.011771138160759635,21.0
0.012899139431404319,20.0
0.01402714070204901,16.0
0.015155141972693686,13.0
0.016283143243338377,12.0
0.017411144513983068,14.0
0.018539145784627745,8.0
0.019667147055272435,6.0
0.020795148325917112,3.0
0.021923149596561803,10.0
0.023051150867206494,3.0
0.02417915213785117,1.0
0.02530715340849586,6.0
0.026435154679140538,4.0
0.02756315594978523,1.0
0.02869115722042992,1.0
0.030947159761719287,2.0
0.032075161032363964,1.0
0.033203162303008654,3.0
0.034331163573653345,1.0
0.03658716611494271,2.0
0.043355173738810815,2.0
0.04561117628010018,1.0
0.06140319406912578,1.0
