Xaxis0,yaxis
-0.1268743336280298,1.0
-0.0601814163257071,2.0
-0.058030031896599915,1.0
-0.05587864746749273,1.0
-0.05372726303838554,2.0
-0.04942449418017118,2.0
-0.047273109751063996,1.0
-0.04512172532195681,8.0
-0.04297034089284962,3.0
-0.04081895646374245,1.0
-0.038667572034635264,4.0
-0.03651618760552808,4.0
-0.03436480317642089,4.0
-0.032213418747313705,8.0
-0.030062034318206518,5.0
-0.027910649889099345,4.0
-0.02575926545999216,13.0
-0.023607881030884972,12.0
-0.021456496601777786,13.0
-0.0193051121726706,29.0
-0.017153727743563427,33.0
-0.01500234331445624,46.0
-0.012850958885349054,43.0
-0.010699574456241867,59.0
-0.00854819002713468,59.0
-0.006396805598027494,85.0
-0.004245421168920321,86.0
-0.002094036739813135,95.0
5.734768929405165e-05,84.0
0.0022087321184012243,85.0
0.004360116547508425,71.0
0.006511500976615597,58.0
0.008662885405722798,54.0
0.01081426983482997,59.0
0.012965654263937143,38.0
0.015117038693044343,32.0
0.017268423122151516,36.0
0.019419807551258716,25.0
0.02157119198036589,16.0
0.023722576409473062,19.0
0.025873960838580262,12.0
0.028025345267687435,11.0
0.030176729696794635,15.0
0.03232811412590181,5.0
0.03447949855500898,3.0
0.03663088298411618,1.0
0.038782267413223354,2.0
0.040933651842330554,1.0
0.04308503627143773,3.0
0.0452364207005449,1.0
0.053841958416973645,1.0
0.0861127248535814,1.0
