Xaxis0,yaxis
-0.1052747453962044,1.0
-0.09766595358376882,1.0
-0.09259342570881177,1.0
-0.09005716177133324,1.0
-0.06976705027150502,1.0
-0.06723078633402649,1.0
-0.06469452239654797,2.0
-0.062158258459069436,1.0
-0.05962199452159091,3.0
-0.057085730584112385,2.0
-0.054549466646633855,3.0
-0.052013202709155326,3.0
-0.049476938771676804,4.0
-0.046940674834198275,5.0
-0.044404410896719745,4.0
-0.04186814695924122,5.0
-0.03933188302176269,12.0
-0.036795619084284165,18.0
-0.03425935514680564,13.0
-0.031723091209327106,15.0
-0.029186827271848584,18.0
-0.026650563334370048,35.0
-0.024114299396891525,24.0
-0.021578035459413003,26.0
-0.019041771521934467,35.0
-0.016505507584455945,51.0
-0.013969243646977408,47.0
-0.011432979709498886,56.0
-0.008896715772020364,67.0
-0.006360451834541828,51.0
-0.0038241878970633053,70.0
-0.001287923959584783,82.0
0.0012483399778937532,75.0
0.0037846039153722755,67.0
0.006320867852850798,62.0
0.008857131790329334,50.0
0.011393395727807856,51.0
0.013929659665286392,34.0
0.016465923602764915,53.0
0.019002187540243437,40.0
0.02153845147772196,26.0
0.02407471541520051,30.0
0.02661097935267903,17.0
0.029147243290157554,24.0
0.031683507227636076,19.0
0.0342197711651146,4.0
0.03675603510259312,8.0
0.03929229904007167,10.0
0.04182856297755019,7.0
0.044364826915028716,2.0
0.04690109085250724,3.0
0.04943735478998576,2.0
0.05197361872746431,3.0
0.057046146602421355,2.0
0.05958241053989988,2.0
0.06465493841485695,2.0
0.06719120235233547,1.0
0.07733625810224959,1.0
0.08494504991468516,1.0
0.09509010566459927,1.0
0.11030768928947043,1.0
0.1458153844141698,1.0
