Xaxis0,yaxis
-0.1318159491031929,1.0
-0.1065556553133023,1.0
-0.08818453255701823,1.0
-0.08129536152341171,2.0
-0.06981340980073417,1.0
-0.06062784842259214,1.0
-0.05603506773352113,3.0
-0.05373867738898562,1.0
-0.05144228704445011,1.0
-0.04914589669991461,1.0
-0.0468495063553791,3.0
-0.04455311601084358,1.0
-0.04225672566630807,4.0
-0.039960335321772567,5.0
-0.03766394497723706,4.0
-0.03536755463270155,11.0
-0.03307116428816605,8.0
-0.03077477394363054,10.0
-0.028478383599095033,12.0
-0.026181993254559527,14.0
-0.02388560291002402,25.0
-0.021589212565488514,24.0
-0.019292822220952993,26.0
-0.016996431876417487,27.0
-0.01470004153188198,38.0
-0.012403651187346473,58.0
-0.010107260842810967,52.0
-0.00781087049827546,79.0
-0.0055144801537399535,82.0
-0.003218089809204433,71.0
-0.0009216994646689403,98.0
0.0013746908798665802,100.0
0.003671081224402073,90.0
0.0059674715689375935,63.0
0.008263861913473086,65.0
0.010560252258008607,58.0
0.0128566426025441,42.0
0.01515303294707962,28.0
0.01744942329161514,25.0
0.019745813636150633,22.0
0.022042203980686154,21.0
0.024338594325221646,18.0
0.026634984669757167,16.0
0.02893137501429266,8.0
0.03122776535882818,11.0
0.03352415570336367,2.0
0.03582054604789919,2.0
0.038116936392434686,3.0
0.040413326736970206,3.0
0.04270971708150573,3.0
0.04500610742604122,2.0
0.04730249777057674,1.0
0.05189527845964775,1.0
0.054191668804183246,3.0
0.05878444949325426,1.0
0.06108083983778978,3.0
0.09552669500582239,1.0
