Xaxis0,yaxis
-0.0840181842973563,1.0
-0.06703394589057847,1.0
-0.06514680828982537,1.0
-0.06325967068907229,1.0
-0.059485395487566095,1.0
-0.057598257886813005,1.0
-0.05004970748380063,1.0
-0.04627543228229444,2.0
-0.04438829468154135,3.0
-0.040614019480035166,1.0
-0.038726881879282075,3.0
-0.036839744278528985,2.0
-0.03495260667777589,2.0
-0.0330654690770228,6.0
-0.031178331476269708,5.0
-0.02929119387551661,8.0
-0.02740405627476352,12.0
-0.025516918674010423,6.0
-0.023629781073257333,10.0
-0.021742643472504243,18.0
-0.019855505871751153,24.0
-0.017968368270998056,27.0
-0.01608123067024496,26.0
-0.014194093069491875,36.0
-0.012306955468738778,44.0
-0.010419817867985681,49.0
-0.008532680267232584,54.0
-0.006645542666479501,62.0
-0.004758405065726404,88.0
-0.0028712674649733066,82.0
-0.0009841298642202234,71.0
0.0009030077365328737,84.0
0.002790145337285971,82.0
0.004677282938039054,64.0
0.006564420538792151,51.0
0.008451558139545248,66.0
0.010338695740298331,50.0
0.012225833341051429,44.0
0.014112970941804526,32.0
0.01600010854255761,29.0
0.017887246143310706,17.0
0.019774383744063803,17.0
0.021661521344816886,12.0
0.023548658945569984,11.0
0.02543579654632308,14.0
0.027322934147076178,7.0
0.02921007174782926,6.0
0.031097209348582358,2.0
0.032984346949335455,1.0
0.03487148455008854,2.0
0.036758622150841636,2.0
0.03864575975159473,3.0
0.040532897352347816,5.0
0.04242003495310093,1.0
0.04996858535611329,2.0
0.051855722956866385,1.0
0.05562999815837255,1.0
0.06317854856138494,1.0
0.06695282376289113,1.0
0.1028084381771999,1.0
