oid,filter,mjd,mag,magerr,clrcoeff
679215400015888,zr,58371.13411,19.447302,0.068797305,0.095532164
679215400015888,zr,58371.14857,19.33295,0.06297806,0.09852628
679215400015888,zr,58371.16092,19.407902,0.06673048,0.09933295
679115400007751,zg,58371.19987,19.991486,0.10855198,-0.05353818
679115400007751,zg,58371.20081,19.791988,0.09350137,-0.04763635
679115400007751,zg,58371.22363,19.722706,0.088732675,-0.042147655
679115400007751,zg,58371.23356,19.602428,0.08099417,-0.05402555
679215400015888,zr,58372.13193,19.43095,0.067931525,0.09134038
679215400015888,zr,58372.16091,19.455883,0.069256335,0.09286329
679115400007751,zg,58372.22214,19.757412,0.091092594,-0.052871674
679115400007751,zg,58372.23706,19.65084,0.08402793,-0.06052726
679215400015888,zr,58373.12565,19.502481,0.07180509,0.10270089
679215400015888,zr,58373.16171,19.430292,0.067896925,0.09638324
679115400007751,zg,58373.20247,19.739182,0.08984577,-0.07433263
679115400007751,zg,58373.21693,19.63721,0.08316294,-0.041702557
679115400007751,zg,58373.23367,19.515667,0.07582246,-0.03551594
679215400015888,zr,58374.12917,19.405632,0.06661342,0.09866665
679215400015888,zr,58374.14706,19.397243,0.06618267,0.09920522
679115400007751,zg,58374.19267,19.788782,0.0932756,-0.038379848
679115400007751,zg,58374.21326,19.962254,0.10622226,-0.029988674
679115400007751,zg,58374.23996,19.768795,0.091879144,-0.025663493
679215400015888,zr,58378.12942,19.482603,0.07070609,0.09701842
679215400015888,zr,58378.13032,19.480455,0.07058845,0.10001731
679115400007751,zg,58378.14976,19.973837,0.10714028,-0.08345485
679115400007751,zg,58378.15068,19.740826,0.089957535,-0.047875963
679115400007751,zg,58378.17142,19.864218,0.09872205,-0.058160435
679115400007751,zg,58378.20123,19.809917,0.09477334,-0.0340636
679215400015888,zr,58378.21499,19.4765,0.070372164,0.09680946
679315400010884,zi,58379.13953,19.139725,0.06777142,0.1837365
679115400007751,zg,58380.17555,19.96034,0.10607126,-0.10756276
679115400007751,zg,58386.11363,19.71267,0.08806098,-0.02749734
679215400015888,zr,58386.19828,19.519466,0.072758146,0.094176285
679215400015888,zr,58389.11297,19.450544,0.06897036,0.09724741
679115400007751,zg,58389.17779,19.827099,0.09600706,-0.03746673
679215400015888,zr,58476.53083,19.246689,0.058937714,0.10287297
679115400007751,zg,58480.52855,19.624672,0.08237468,-0.046329927
1720205400005285,zr,58481.53598,19.217098,0.06312636,0.11024808
679115400007751,zg,58487.51187,19.98526,0.108052164,-0.02960739
679215400015888,zr,58487.54933,19.35796,0.06420452,0.10113732
679115400007751,zg,58492.54701,19.629423,0.08267253,-0.035045654
679215400015888,zr,58508.51349,19.194859,0.056646623,0.09687209
679115400007751,zg,58522.51497,19.804531,0.09438959,-0.043061703
679215400015888,zr,58526.52678,19.396736,0.06615676,0.08667553
1720205400005285,zr,58534.40765,18.899513,0.049616396,0.11731194
679215400015888,zr,58538.48491,19.383417,0.06547917,0.10449602
679215400015888,zr,58538.50528,19.200974,0.05691173,0.10810478
679215400015888,zr,58538.50621,19.2911,0.060981568,0.0995599
679115400007751,zg,58538.52703,19.552267,0.07796326,-0.02534357
679115400007751,zg,58538.52796,19.592808,0.08040408,-0.033974186
679315400010884,zi,58538.56144,19.387222,0.08168654,0.1808478
679115400007751,zg,58540.45926,20.04385,0.11283274,-0.081599
679115400007751,zg,58540.46433,19.861698,0.09853555,-0.10109143
679115400007751,zg,58540.49774,19.869825,0.099138126,-0.091006316
679215400015888,zr,58540.52935,19.383694,0.06549317,0.09353953
679215400015888,zr,58540.55268,19.422346,0.06748051,0.095528245
679115400007751,zg,58541.4418,19.845272,0.0973278,-0.083689734
