oid,filter,mjd,mag,magerr,clrcoeff
717201200001239,zr,58198.38663,18.138996,0.03467811,0.11938145
717201200001239,zr,58198.41155,18.118645,0.03423212,0.11619809
717101200000722,zg,58202.29837,18.70101,0.04668038,-0.05040974
717101200000722,zg,58202.31985,18.834597,0.05134216,-0.04287566
717101200000722,zg,58202.35413,18.741356,0.048034534,-0.044111628
717101200000722,zg,58202.35558,18.810808,0.050474122,-0.03739191
717101200000722,zg,58202.3637,18.754238,0.04847653,-0.027859215
717101200000722,zg,58202.36462,18.741056,0.048024323,-0.038062442
717101200000722,zg,58203.35017,18.792177,0.04980595,-0.07213992
717101200000722,zg,58203.36758,18.815304,0.050636873,-0.055849347
717101200000722,zg,58203.39225,18.892471,0.05352531,-0.022778604
717101200000722,zg,58204.28214,18.687386,0.0462333,-0.06858532
717101200000722,zg,58204.30693,18.68977,0.046311162,-0.06619224
717101200000722,zg,58204.33196,18.872961,0.052777886,-0.066247754
717101200000722,zg,58204.34329,18.582016,0.04294365,-0.054443266
717101200000722,zg,58204.36332,18.749836,0.048324987,-0.08026208
717101200000722,zg,58204.39928,18.697542,0.046566095,-0.06287228
717101200000722,zg,58205.28689,18.7304,0.04766233,-0.035991777
717101200000722,zg,58205.30401,18.867453,0.05256903,-0.0547195
717101200000722,zg,58205.32674,18.850128,0.051918056,-0.030442046
717101200000722,zg,58205.35291,18.74102,0.04802306,-0.017345857
717101200000722,zg,58205.35383,18.983156,0.05715608,-0.028014747
717101200000722,zg,58205.36268,18.766752,0.04891046,-0.02672382
717101200000722,zg,58205.3636,18.8121,0.050520808,-0.02460566
717101200000722,zg,58205.39916,18.640293,0.044726778,-0.058646355
717101200000722,zg,58206.27792,18.913172,0.054331187,-0.069135375
717101200000722,zg,58206.30074,18.786114,0.049590707,-0.052774455
717101200000722,zg,58206.32138,18.804707,0.05025415,-0.059211105
717101200000722,zg,58206.34375,18.94289,0.055511635,-0.05122186
717101200000722,zg,58206.37689,18.840385,0.051555954,-0.040194757
717101200000722,zg,58206.38108,18.795406,0.04992104,-0.020887954
717101200000722,zg,58207.27463,18.793724,0.04986105,-0.035523064
717101200000722,zg,58207.30788,18.788338,0.049669508,-0.042634398
717101200000722,zg,58207.32496,18.865345,0.05248935,-0.02987691
717101200000722,zg,58207.34302,18.820526,0.0508267,-0.021560837
717101200000722,zg,58207.36098,18.939356,0.055369765,-0.035212327
717101200000722,zg,58207.38055,18.880302,0.053057775,-0.010700354
717101200000722,zg,58210.31486,18.914644,0.05438902,-0.026218604
717101200000722,zg,58210.3229,18.824512,0.050972145,-0.021945268
717101200000722,zg,58210.37892,18.924032,0.054759335,-0.033947043
717101200000722,zg,58210.38327,18.787386,0.049635775,-0.006080277
717101200000722,zg,58210.42256,18.818085,0.050737865,-0.007492944
717101200000722,zg,58211.33426,18.729385,0.047627993,-0.0025676582
717101200000722,zg,58211.34301,18.63879,0.044679705,-0.016542355
717101200000722,zg,58211.34392,18.568192,0.042533476,-0.014395968
717101200000722,zg,58211.34484,18.646946,0.044936005,-0.021847425
717101200000722,zg,58214.28926,18.626038,0.044282425,-0.008675067
717201200001239,zr,58214.33957,18.163534,0.035226807,0.121613316
717201200001239,zr,58214.34048,18.159426,0.035134107,0.12436761
717101200000722,zg,58216.27165,18.679028,0.04596156,-0.024852209
717201200001239,zr,58217.26787,18.202091,0.036113724,0.11029366
717201200001239,zr,58217.28066,18.193645,0.03591682,0.10459815
717201200001239,zr,58217.3036,18.212397,0.036355987,0.108390234
717201200001239,zr,58217.3326,18.103996,0.033916134,0.10888504
717201200001239,zr,58217.36019,18.16428,0.035243683,0.114507005
717201200001239,zr,58218.24918,18.200504,0.036076616,0.107357636
717201200001239,zr,58218.25771,18.185078,0.035718597,0.1077784
717201200001239,zr,58218.28462,18.137909,0.034654077,0.11070186
717201200001239,zr,58218.28557,18.223942,0.036630057,0.11687898
717201200001239,zr,58218.31009,18.26802,0.037702605,0.121156394
717201200001239,zr,58218.3111,18.158588,0.03511524,0.118531905
717201200001239,zr,58218.35811,18.132015,0.034524202,0.122384265
717201200001239,zr,58218.36146,18.205706,0.036198437,0.12255185
717201200001239,zr,58218.38139,18.167007,0.035305467,0.120397575
717201200001239,zr,58219.2443,18.140388,0.03470892,0.11220378
717201200001239,zr,58219.2691,18.160112,0.035149574,0.11842587
717201200001239,zr,58219.27959,18.113403,0.03411857,0.123141184
717201200001239,zr,58219.28054,18.149818,0.03491861,0.11185692
717201200001239,zr,58219.3042,18.114826,0.034149352,0.12358074
717201200001239,zr,58219.31166,18.17479,0.035482567,0.13218057
717201200001239,zr,58219.33708,18.135986,0.034611627,0.12615368
717201200001239,zr,58219.34037,18.196669,0.035987128,0.12902649
717201200001239,zr,58219.36256,18.15644,0.035066955,0.123374216
717201200001239,zr,58221.26568,18.003477,0.031857453,0.124045864
717201200001239,zr,58221.26664,18.041752,0.03261923,0.12922977
717201200001239,zr,58221.26759,18.076296,0.033329915,0.12454546
717201200001239,zr,58221.28106,18.0588,0.03296716,0.12761652
717201200001239,zr,58222.26973,18.109709,0.034038864,0.11110353
717201200001239,zr,58222.28822,18.002907,0.031846315,0.11724207
717201200001239,zr,58222.28913,18.115643,0.034167025,0.117789224
717201200001239,zr,58222.29995,18.141884,0.034742046,0.116940364
717201200001239,zr,58222.33377,18.149473,0.03491092,0.116247304
717201200001239,zr,58222.33758,18.131374,0.034510113,0.11731211
717201200001239,zr,58222.36082,18.14963,0.034914404,0.12358193
717101200000722,zg,58223.32331,18.7942,0.049878053,-0.049242258
717201200001239,zr,58224.24289,18.234861,0.03689187,0.12142375
717201200001239,zr,58224.2726,18.128956,0.034457073,0.11839617
717201200001239,zr,58224.27914,18.155994,0.03505692,0.11108101
717201200001239,zr,58226.2928,18.17351,0.03545335,0.112253234
717201200001239,zr,58226.29375,18.159216,0.035129383,0.1079987
717201200001239,zr,58226.3067,18.14101,0.034722704,0.11747673
717201200001239,zr,58226.33642,18.16848,0.03533888,0.12269044
717201200001239,zr,58227.27115,18.22476,0.03664958,0.1259248
717201200001239,zr,58227.27904,18.179459,0.0355894,0.12379366
717201200001239,zr,58227.27996,18.116486,0.03418529,0.12085402
717201200001239,zr,58227.29308,18.10223,0.033878304,0.11821215
